"pathway","pval","padj","overlap","size","overlapGenes"
"C1_Transmembrane protein",6.11973282195873e-40,1.77472251836803e-38,150,1790,"ABU-4;ABU-7;F53C3.6;DMSR-3;B0244.7;C06B3.1;C41G6.12;F27E5.8;F59B1.6;R10E8.5;SDZ-18;T26H8.5;Y116A8C.40;Y55F3C.10;Y70C5A.4;SRA-12;SRA-20;SRA-8;SRB-11;SRB-3;SRB-5;SRBC-38;SRBC-40;SRBC-56;SRBC-59;SRBC-6;SRBC-62;SRBC-68;SRBC-71;SRBC-76;SRBC-78;SRBC-79;SRBC-81;SRBC-82;SRD-27;SRE-26;SRH-112;SRH-113;SRH-120;SRH-123;SRH-145;SRH-149;SRH-172;SRH-181;SRH-217;SRH-22;SRH-245;SRH-246;SRH-251;SRH-255;SRH-28;SRH-283;SRH-284;SRH-289;SRH-290;SRH-291;SRH-299;SRH-303;SRH-304;SRH-45;SRH-48;SRH-59;SRH-67;SRH-74;SRI-14;SRI-25;SRI-31;SRI-34;SRI-38;SRI-40;SRI-43;SRI-57;SRI-77;SRI-78;SRI-74;SRJ-1;SRJ-20;SRJ-25;SRJ-4;SRJ-45;SRJ-52;SRJ-53;SRR-9;SRSX-37;SRSX-39;SRT-11;SRT-17;SRT-37;SRT-4;SRU-20;SRU-3;SRU-31;SRU-35;SRV-22;SRV-28;SRW-107;SRW-109;SRW-11;SRW-122;SRW-14;SRW-20;SRW-24;SRW-36;SRW-42;SRW-54;SRW-63;SRW-83;SRX-108;SRX-114;SRX-121;SRX-122;SRX-24;SRX-31;SRX-33;SRX-42;SRX-50;SRX-87;SRX-88;SRX-90;SRXA-19;SRZ-10;SRZ-12;SRZ-13;SRZ-14;SRZ-18;SRZ-23;SRZ-31;SRZ-54;SRZ-59;SRZ-71;SRZ-75;SRZ-90;SRZ-94;STR-101;STR-103;STR-109;STR-134;STR-148;STR-185;STR-198;STR-208;STR-209;STR-214;STR-226;STR-228;STR-243;STR-257;STR-60;STR-86;STR-93"
"C1_Proteolysis proteasome",1.93646274806271e-32,2.80787098469093e-31,85,737,"F56F11.4;C24H12.1;C33E10.8;C53A3.1;F55C9.11;FBXA-10;FBXA-102;FBXA-112;FBXA-114;FBXA-116;FBXA-120;FBXA-131;FBXA-134;FBXA-136;FBXA-14;FBXA-143;FBXA-151;FBXA-152;FBXA-155;FBXA-156;FBXA-157;FBXA-158;FBXA-163;FBXA-164;FBXA-165;FBXA-166;FBXA-172;FBXA-185;FBXA-188;FBXA-192;FBXA-197;FBXA-218;FBXA-221;FBXA-35;FBXA-40;FBXA-41;FBXA-43;FBXA-55;FBXA-59;FBXA-60;FBXA-76;FBXA-77;FBXA-78;FBXA-95;FBXB-105;FBXB-115;FBXB-2;FBXB-20;FBXB-24;FBXB-26;FBXB-37;FBXB-38;FBXB-46;FBXB-48;FBXB-63;FBXB-7;FBXB-71;FBXB-72;FBXB-81;FBXB-82;FBXB-84;FBXB-99;FBXC-17;FBXC-19;FBXC-22;FBXC-23;FBXC-34;FBXC-9;SDZ-33;SRH-208;T10C6.10;Y46G5A.39;HECW-1;C48D1.1;UBC-21;Y54E10A.11;PAR-2;Y45F10B.8;Y60A9.3;SKR-4;SKR-6;SKR-9;T28B8.3;UBQ-1;Y67D2.2"
"C1_Stress response",3.78374714589418e-19,3.65762224103104e-18,69,808,"CLEC-10;CLEC-100;CLEC-114;CLEC-116;CLEC-119;CLEC-121;CLEC-122;CLEC-13;CLEC-143;CLEC-148;CLEC-164;CLEC-167;CLEC-168;CLEC-174;CLEC-179;CLEC-18;CLEC-189;CLEC-193;CLEC-194;CLEC-195;CLEC-2;CLEC-207;CLEC-22;CLEC-233;CLEC-247;CLEC-248;CLEC-249;CLEC-255;CLEC-256;CLEC-257;CLEC-258;CLEC-31;CLEC-40;CLEC-59;CLEC-64;CLEC-67;CLEC-72;CLEC-94;F17B5.10;K04H8.2;CYP-13A11;CYP-13A5;CYP-33C5;CYP-33D3;CYP-33E2;CYP-34A8;CYP-35A4;F39G3.4;UGT-14;UGT-32;GST-17;GST-18;PALS-33;POML-2;W01B11.6;CST-2;CTL-1;CTL-2;CTL-3;K08D8.5;T05E12.6;T19C9.8;ZK896.1;LYS-5;F11D11.3;HPO-33;Y43C5A.3;SPP-4;KGB-2"
"C1_Proteolysis general",2.02485201225344e-07,1.46801770888374e-06,29,395,"Y32F6A.5;CLP-3;CLP-6;CLP-8;TRA-3;CTSA-2;Y51A2D.1;C49A9.4;CLPR-2;SCL-27;K11D12.6;SRP-6;ILYS-1;LYS-10;LYS-9;F39E9.6;NAS-18;NAS-21;NEP-10;NEP-13;NEP-3;NEP-4;R03G8.6;Y47C4A.1;Y53F4B.20;F35F10.7;ZK430.5;LIDO-17;F19C7.4"
"C1_Transcription factor",0.000611593605249339,0.00354724291044617,28,581,"ARID-1;HLH-31;ELK-2;FKH-4;CEH-84;CEH-86;CEH-89;NHR-123;NHR-147;NHR-174;NHR-187;NHR-188;NHR-196;NHR-198;NHR-219;NHR-223;NHR-231;NHR-241;NHR-242;NHR-248;NHR-253;NHR-261;NHR-264;NHR-50;NHR-72;NHR-73;NHR-81;NHR-291"
"C1_Cytoskeleton",0.000846739549709312,0.00409257449026167,20,368,"M116.5;B0280.2;C31C9.6;CDH-12;INX-16;F10C1.8;EBP-3;RMD-6;B0218.5;F26A1.4;K09C6.8;R13H9.5;TTBK-2;Y19D2B.1;TBCC-1;DLC-4;AFD-1;ITX-1;T08D2.8;TTN-1"
"C1_Transmembrane transport",0.00444954460197846,0.0184338276367679,34,857,"HAF-3;HAF-6;MRP-7;PGP-7;AAT-7;BEST-11;BEST-5;D1086.9;H39E23.3;GAB-1;SFXN-5;F31D5.1;Y39B6A.29;Y43D4A.4;Y52E8A.6;C17F4.8;C40A11.7;K02F6.8;T08G3.13;TWK-36;ZC239.13;ZC239.3;ZC239.4;EGAS-1;F11D5.5;SLC-9B.2;K09C4.2;NCX-8;NSTP-9;SLC-28.1;VGLU-2;Y57G11C.23;Y66D12A.13;Y82E9BR.16"
"C1_Extracellular material",0.0169282396744703,0.0613648688199549,20,484,"CHIL-18;CHIL-21;LMD-4;LMD-5;R09D1.14;C31B8.9;T09E11.3;COL-135;COL-179;COL-62;F46A8.3;F46A8.4;F46A8.5;DGN-3;F43C11.7;Y39F10C.1;TSP-13;TSP-5;W04G5.5;SCL-8"
"C1_Nucleic acid",0.0262005245475414,0.0844239124309666,11,229,"EGRH-2;F35C5.3;F56B3.9;F58D12.5;F59B2.14;K02F6.1;Y59E9AR.2;C10A4.1;LIN-38;PLP-2;Y25C1A.8"
"C1_Development",0.105337382562239,0.305478409430492,11,292,"CSP-1;CSP-2;MATH-24;MATH-26;Y53F4B.7;EGO-2;MAC-1;PRO-3;SSL-1;ANC-1;DIG-1"
