C49G7.12 WBGene00077593
C49G7.13 WBGene00269425
C49G7.7 WBGene00016785
F07C4.11 WBGene00017204
K09D9.1 WBGene00019564
clec-10 WBGene00015403
clec-17 WBGene00008477
clec-72 WBGene00021583
clec-122 WBGene00021290
clec-143 WBGene00014063
clec-174 WBGene00021580
clec-189 WBGene00010954
clec-2 WBGene00015198
cyp-13a5 WBGene00011672
cyp-33E3 WBGene00018333
cyp-33c5 WBGene00018261
cyp-33d3 WBGene00012448
cyp-33e2 WBGene00018334
cyp-35A3 WBGene00019565
cyp-35a4 WBGene00016786
hecw-1 WBGene00009738
srh-234 WBGene00005441
str-208 WBGene00006241
str-47 WBGene00006112
ugt-14 WBGene00019233
