"initial_alias","converted_alias","name","description","namespace"
"WBGENE00045515","nhr-291","nhr-291","Nuclear receptor domain-containing protein [Source:NCBI gene;Acc:6418820]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00010989","R03D7.2","R03D7.2","AAA_12 domain-containing protein [Source:NCBI gene;Acc:174682]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00016891","C53A3.1","C53A3.1","F-box domain-containing protein [Source:NCBI gene;Acc:183735]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00017221","dgn-3","dgn-3","Peptidase S72 domain-containing protein [Source:NCBI gene;Acc:184149]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00018243","F40G9.7","F40G9.7","Uncharacterized protein [Source:NCBI gene;Acc:175183]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00019562","K09C6.8","K09C6.8","Uncharacterized protein [Source:NCBI gene;Acc:178590]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00270293","F36H5.17","F36H5.17","F-box domain-containing protein [Source:NCBI gene;Acc:28661649]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00013598","vps-28","vps-28","Vacuolar protein sorting-associated  [Source:NCBI gene;Acc:173229]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00015576","C07G3.8","C07G3.8","DUF19 domain-containing protein [Source:NCBI gene;Acc:182381]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00015576","C07G3.15","C07G3.15","Uncharacterized protein [Source:NCBI gene;Acc:27219611]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00018844","F54H12.4","F54H12.4","Uncharacterized protein [Source:NCBI gene;Acc:186268]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00019189","H11L12.1","H11L12.1","Uncharacterized protein [Source:NCBI gene;Acc:186723]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00012407","Y7A5A.1","Y7A5A.1","Delta(24)-sterol reductase [Source:NCBI gene;Acc:181666]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00005418","srh-208","srh-208","Serpentine Receptor, class H [Source:NCBI gene;Acc:183411]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00021485","Y40A1A.3","Y40A1A.3","Uncharacterized protein [Source:NCBI gene;Acc:180511]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00005247","srh-22","srh-22","Serpentine Receptor, class H [Source:NCBI gene;Acc:191848]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00007868","C32H11.5","C32H11.5","DUF148 domain-containing protein [Source:NCBI gene;Acc:183129]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00006727","ubq-1","ubq-1","Ubiquitin-related [Source:NCBI gene;Acc:175840]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00015071","cest-30","cest-30","Carboxylic ester hydrolase [Source:NCBI gene;Acc:181871]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00174191","21ur-11781","21ur-11781","ncRNA [Source:NCBI gene;Acc:13208788]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00008447","E01G4.5","E01G4.5","Uncharacterized protein [Source:NCBI gene;Acc:174989]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00022562","ZC204.12","ZC204.12","Uncharacterized protein [Source:NCBI gene;Acc:173536]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00007377","C06C3.7","C06C3.7","Uncharacterized protein [Source:NCBI gene;Acc:182304]","ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC"
"WBGENE00006429","arrd-3","arrd-3","Arrestin_C domain-containing protein [Source:NCBI gene;Acc:187498]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
"WBGENE00019233","ugt-14","ugt-14","Glucuronosyltransferase [Source:NCBI gene;Acc:186767]","AGILENT_GPL13394,ARRAYEXPRESS,ENSG,WORMBASE_GENE,WORMBASE_GSEQNAME_ACC,WORMBASE_LOCUS_ACC"
